line,status,identifier,aircon,display_eligible,reason
710,success,360372,0,0,
711,success,362039,0,0,
712,success,336297,0,0,
713,success,361681,0,0,
714,success,333243,0,0,
715,success,364827,0,0,
716,success,361475,0,0,
717,success,360207,0,0,
718,success,358437,0,0,
719,success,364835,0,0,
720,success,360371,0,0,
721,success,333245,0,0,
722,success,364495,0,0,
723,success,359081,0,0,
724,success,359502,0,0,
725,success,364832,0,0,
726,success,364820,0,0,
727,success,333237,0,0,
728,success,341525,0,0,
729,success,337863,0,0,
730,success,364826,0,0,
731,success,364833,0,0,
732,success,339924,0,0,
733,success,364831,0,0,
734,success,333233,0,0,
735,success,364821,0,0,
736,success,364819,0,0,
737,success,336298,0,0,
738,success,312882,0,0,
739,success,160027,0,0,
740,success,331045,0,0,
741,success,282202,0,0,
742,success,312885,0,0,
743,success,327104,0,0,
744,success,316067,0,0,
745,success,316066,0,0,
746,success,231410,0,0,
747,success,244482,0,0,
748,success,327103,0,0,
749,success,279966,0,0,
750,success,236251,0,0,
751,success,237340,0,0,
752,success,239926,0,0,
753,success,244433,0,0,
754,success,318686,0,0,
755,success,84559,0,0,
756,success,234389,0,0,
757,success,333058,0,0,
758,success,327102,0,0,
759,success,237811,0,0,
760,success,236629,0,0,
761,success,237338,0,0,
762,success,237805,0,0,
763,success,331212,0,0,
764,success,233469,0,0,
765,success,322221,0,0,
766,success,233473,0,0,
767,success,333230,0,0,
768,success,236579,0,0,
769,success,301170,0,0,
770,success,312894,0,0,
771,success,333228,0,0,
772,success,236203,0,0,
773,success,175149,0,0,
774,success,333229,0,0,
775,success,327105,0,0,
776,success,331044,0,0,
777,success,327101,0,0,
778,success,265492,0,0,
779,success,237224,0,0,
780,success,239923,0,0,
781,success,327100,0,0,
782,success,333231,0,0,
783,success,203699,0,0,
784,success,234841,0,0,
785,success,312917,0,0,
786,success,240363,0,0,
787,success,235080,0,0,
788,success,84558,0,0,
789,success,282204,0,0,
790,success,329791,0,0,
791,success,236595,0,0,
792,success,239925,0,0,
793,success,260287,0,0,
794,success,319780,0,0,
795,success,234388,0,0,
796,success,162891,0,0,
797,success,235079,0,0,
798,success,236229,0,0,
799,success,312893,0,0,
800,success,327099,0,0,
801,success,84806,0,0,
802,success,317824,0,0,
803,success,240367,0,0,
804,success,251470,0,0,
805,success,252516,0,0,
806,success,312883,0,0,
807,success,237223,0,0,
808,success,219312,0,0,
809,success,196708,0,0,
810,success,317191,0,0,
811,success,312898,0,0,
812,success,318692,0,0,
813,success,366706,0,0,
814,success,331315,0,0,
815,success,316865,0,0,
816,success,299618,0,0,
817,success,303490,0,0,
818,success,360279,0,0,
819,success,341422,0,0,
820,success,242775,0,0,
821,success,71823,0,0,
822,success,316813,0,0,
823,success,214367,0,0,
824,success,362721,0,0,
825,success,214365,0,0,
826,success,368162,0,0,
827,success,233486,0,0,
828,success,364521,0,0,
829,success,327344,0,0,
830,success,367523,0,0,
831,success,299620,0,0,
832,success,332238,0,0,
833,success,335903,0,0,
834,success,299616,0,0,
835,success,336704,0,0,
836,success,335901,0,0,
837,success,335902,0,0,
838,success,174038,0,0,
839,success,316811,0,0,
840,success,364924,0,0,
841,success,84525,0,0,
842,success,316809,0,0,
843,success,332239,0,0,
844,success,332031,0,0,
845,success,283212,0,0,
846,success,203059,0,0,
847,success,299619,0,0,
848,success,69080,0,0,
849,success,88683,0,0,
850,success,203052,0,0,
851,success,303489,0,0,
852,success,360278,0,0,
853,success,73534,0,0,
854,success,305853,0,0,
855,success,228757,0,0,
856,success,242769,0,0,
857,success,242774,0,0,
858,success,303491,0,0,
859,success,212156,0,0,
860,success,242766,0,0,
861,success,299617,0,0,
862,success,316864,0,0,
863,success,341423,0,0,
864,success,332032,0,0,
865,success,368999,0,0,
866,success,368115,0,0,
867,success,368117,0,0,
868,success,367914,0,0,
869,success,368523,0,0,
870,success,368116,0,0,
871,success,368113,0,0,
872,success,369206,0,0,
873,success,369485,0,0,
874,success,368161,0,0,
875,success,367913,0,0,
876,success,368311,0,0,
877,success,369000,0,0,
878,success,368021,0,0,
879,success,368524,0,0,
880,success,368114,0,0,
881,success,368998,0,0,
882,success,292270,0,0,
883,success,277551,0,0,
884,success,236204,0,0,
885,success,291754,0,0,
886,success,330443,0,0,
887,success,203142,0,0,
888,success,366942,0,0,
889,success,358397,0,0,
890,success,286230,0,0,
891,success,340062,0,0,
892,success,291755,0,0,
893,success,222395,0,0,
894,success,338101,0,0,
895,success,64958,0,0,
896,success,326057,0,0,
897,success,196719,0,0,
898,success,327610,0,0,
899,success,330303,0,0,
900,success,340063,0,0,
901,success,71776,0,0,
902,success,326055,0,0,
